roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.44435,3.4551,5.3179,0.75574,1.527,0.7795300000000001,1.0997,2.296,0.17493,0.004889,2e-05,1e-06,0.0,0.0,0.0,81.93,84.492,18.192999999999998,14.632,14.718,18.725,0.32702,0.26289,1.1246,6.3169,6.1726,4.2484,0.12161,0.98829,0.31033,0.9422,1
0.45813999999999994,3.4213,5.2373,0.74651,1.5029,0.77988,1.1027,2.2654,0.17377,0.0045049999999999995,2e-06,0.0,0.0,0.0,0.0,71.186,79.22399999999999,0.67092,20.459,19.413,5.3617,0.1003,0.10654000000000001,11.262,4.1593,4.1451,163.0,0.16684000000000002,0.9858299999999999,0.20670999999999998,0.92156,1
0.44937,3.4332,5.2881,0.72838,1.4595,0.76203,1.113,2.2675,0.1759,0.004033,2e-06,0.0,0.0,0.0,0.0,77.506,81.73899999999999,4.2004,20.320999999999998,20.16,12.049000000000001,-0.25256999999999996,-0.25588,3.8261,4.1055,3.9133,20.500999999999998,0.12946,0.9890100000000001,0.23931999999999998,0.9390799999999999,1
0.53894,3.3678,4.8287,0.72555,1.4531,0.78256,1.0522,2.0991,0.17102,0.003732,4e-06,0.0,0.0,0.0,0.0,71.83,77.059,3.3107,18.34,17.335,10.443,-0.11659000000000001,-0.075956,4.2707,4.5744,4.2495,25.535999999999998,0.17439000000000002,0.9839100000000001,0.22171,0.9199200000000001,1
0.41198999999999997,3.5554,5.5228,0.78036,1.5991,0.77304,1.08,2.3625,0.17985,0.0061990000000000005,9.7e-05,1.3000000000000001e-05,0.0,1e-06,0.0,76.955,76.005,25.285,18.083,18.708,24.355,0.2838,0.13374,0.7455,4.463,4.4064,2.7111,0.14554,0.98803,0.22229000000000002,0.93045,1
0.4871,3.2524,5.0792,0.75369,1.5215,0.7790199999999999,1.1174,2.193,0.1748,0.004808,9e-06,1e-06,0.0,0.0,0.0,79.247,87.068,2.4622,17.595,16.983,8.704,-0.14517,-0.046325,5.3247,4.2869,4.0439,41.155,0.13939000000000001,0.98679,0.2674,0.93619,1
0.45385,3.2239,5.2620000000000005,0.8002600000000001,1.6676,0.77736,1.1144,2.2459,0.18229,0.007373,2.3e-05,3e-06,0.0,0.0,0.0,84.227,86.132,25.656999999999996,16.734,17.051,22.129,-0.038928,-0.19960999999999998,0.53461,4.067,4.1492,2.5019,0.12352,0.98879,0.26103000000000004,0.94194,1
0.42868999999999996,3.3388,5.4142,0.79632,1.6532,0.7774300000000001,1.112,2.3134,0.18153,0.007103,7.5e-05,6e-06,0.0,0.0,0.0,83.24799999999999,81.479,29.788,16.832,17.793,22.855999999999998,-0.18753,-0.41953,0.31567,3.9303,4.3777,2.3786,0.12004000000000001,0.98969,0.26538,0.9436,1
0.47475,3.2248,5.1448,0.77828,1.5926,0.7790199999999999,1.1158,2.2104,0.17815,0.00599,2.1e-05,1e-06,0.0,0.0,0.0,81.44800000000001,85.024,11.477,17.500999999999998,17.897000000000002,17.715,-0.23393000000000003,-0.39121999999999996,1.6185,3.9802,4.0287,5.1664,0.12816,0.98849,0.26178,0.93989,1
0.44286000000000003,3.3602,5.3269,0.7874899999999999,1.6225,0.77556,1.0959999999999999,2.2785,0.18042,0.006575,4.8e-05,5e-06,0.0,0.0,0.0,81.235,84.184,10.800999999999998,17.726,17.75,17.346,-0.045869,-0.13509000000000002,1.815,4.1741,3.9792,6.1162,0.12680999999999998,0.98906,0.26043,0.9408799999999999,1
0.4102,3.3971,5.5349,0.7693,1.5652,0.77662,1.1477,2.3789,0.17737999999999998,0.005558,3.6e-05,3e-06,0.0,0.0,0.0,85.971,91.26,20.82,19.129,18.602999999999998,22.4,-0.15137,-0.32685,0.9510799999999999,4.7695,4.6928,3.2994,0.12190999999999999,0.98877,0.25251,0.94206,1
0.46798999999999996,3.4549,5.1819,0.74849,1.508,0.77995,1.0787,2.2408,0.17398,0.004582999999999999,2.8999999999999997e-05,3e-06,0.0,0.0,0.0,85.26,87.45100000000001,19.464000000000002,15.982999999999999,16.212,20.229,-0.31331,-0.3079,0.86719,5.2288,4.9238,3.1471,0.1203,0.98835,0.27846,0.9425100000000001,1
0.42973999999999996,3.1943,5.4076,0.82824,1.7845,0.77542,1.1159,2.2845,0.18899999999999997,0.009734999999999999,8.8e-05,1e-05,0.0,1e-06,0.0,80.012,80.624,17.276,18.445999999999998,18.689,22.564,-0.1353,-0.27008000000000004,1.1355,3.7105,3.8793,3.2539999999999996,0.14607,0.98785,0.22816999999999998,0.9307700000000001,1
